,Street_One,Street_Two,Street_Two_Address,Coordinates,Latitude,Longitude
0,MISSION ST,ITALY AVE,"ITALY AVE, San Francisco, USA","Italy Avenue, Excelsior, SF, California, 94112, USA",37.7165755,-122.4355516
1,MISSION ST,NEW MONTGOMERY ST,"NEW MONTGOMERY ST, San Francisco, USA","New Montgomery Street, Union Square, SF, California, 94105, USA",37.7877045,-122.4008211
2,MISSION ST,01ST ST,"01ST ST, San Francisco, USA",,,
3,MISSION ST,20TH ST,"20TH ST, San Francisco, USA","20th Street, Liberty Street Historic District, SF, California, 94114, USA",37.7579605,-122.4302713
4,MISSION ST,FREMONT ST,"FREMONT ST, San Francisco, USA","Fremont Street, Financial District, SF, California, 94105, USA",37.7885893,-122.3943132
5,MISSION ST,13TH ST,"13TH ST, San Francisco, USA","SF, California, USA",37.7792808,-122.4192363
6,MISSION ST,ERIE ST,"ERIE ST, San Francisco, USA","Erie Street, Hayes Valley, SF, California, 94103, USA",37.7690868,-122.4195415
7,MISSION ST,BEALE ST,"BEALE ST, San Francisco, USA","Beale Street, South Beach, SF, California, 94017, USA",37.7865573,-122.3900592
8,MISSION ST,FAIR AVE,"FAIR AVE, San Francisco, USA","Fair Avenue, Bernal Heights, SF, California, CA 94110, USA",37.7453559,-122.4192941
9,MISSION ST,SAINT MARYS AVE,"SAINT MARYS AVE, San Francisco, USA","Saint Mary's Avenue, St. Mary's Park, SF, California, CA 94110, USA",37.7345217,-122.427413
10,MISSION ST,SENECA AVE,"SENECA AVE, San Francisco, USA","Seneca Avenue, Excelsior, SF, California, 94112, USA",37.7200385,-122.4426659
11,MISSION ST,ANTHONY ST,"ANTHONY ST, San Francisco, USA","Anthony Street, Financial District, SF, California, 94105, USA",37.7888215,-122.3999463
12,MISSION ST,JESSIE EAST ST,"JESSIE EAST ST, San Francisco, USA","Jessie East, Union Square, SF, California, 94104, USA",37.7839997,-122.4048687
13,MISSION ST,SILVER AVE,"SILVER AVE, San Francisco, USA","Silver Avenue, Silver Terrace, SF, California, 94124, USA",37.7326957,-122.4052459
14,MISSION ST,MOUNT VERNON AVE,"MOUNT VERNON AVE, San Francisco, USA","Mount Vernon Avenue, Ingleside, SF, California, 94112, USA",37.7199632,-122.4523522
15,MISSION ST,30TH ST,"30TH ST, San Francisco, USA","30th Street, Glen Park, SF, California, CA 94110, USA",37.7417932,-122.4320638
16,MISSION ST,MAIN ST,"MAIN ST, San Francisco, USA","Main Street, South Beach, SF, California, 94017, USA",37.7878679,-122.3899612
17,MISSION ST,TRUMBULL ST,"TRUMBULL ST, San Francisco, USA","Trumbull Street, St. Mary's Park, SF, California, 94112, USA",37.7307687,-122.4289003
18,MISSION ST,15TH ST,"15TH ST, San Francisco, USA","SF, California, USA",37.7792808,-122.4192363
19,MISSION ST,KINGSTON ST,"KINGSTON ST, San Francisco, USA","Kingston Street, Bernal Heights, SF, California, CA 94110, USA",37.7417132,-122.422236
20,MISSION ST,TINGLEY ST,"TINGLEY ST, San Francisco, USA","Tingley Street, Glen Park, SF, California, 94112, USA",37.7292782,-122.4339193
21,MISSION ST,THERESA ST,"THERESA ST, San Francisco, USA","Theresa Street, Glen Park, SF, California, 94112, USA",37.728995,-122.434915
22,MISSION ST,PARK ST,"PARK ST, San Francisco, USA","Park Street, St. Mary's Park, SF, California, CA 94110, USA",37.7366479,-122.4231783
23,MISSION ST,OLIVER ST,"OLIVER ST, San Francisco, USA","Oliver Street, Daly City, San Mateo County, California, 94112, USA",37.7071742,-122.4492212
24,MISSION ST,STEUART ST,"STEUART ST, San Francisco, USA","Steuart Street, Financial District, SF, California, 94111, USA",37.7933224,-122.3933212
25,MISSION ST,HURON AVE,"HURON AVE, San Francisco, USA","Huron Avenue, Ocean View, SF, California, 94112, USA",37.712182,-122.449416
26,MISSION ST,SYCAMORE ST,"SYCAMORE ST, San Francisco, USA","Sycamore Street, Mission District, SF, California, 94110, USA",37.762625,-122.420901
27,MISSION ST,02ND ST,"02ND ST, San Francisco, USA",,,
28,MISSION ST,MINT ST,"MINT ST, San Francisco, USA","The Mint, Market Street, Western Addition, SF, California, 94143, USA",37.770261,-122.4257961
29,MISSION ST,GENEVA AVE,"GENEVA AVE, San Francisco, USA","Geneva Avenue, Excelsior, SF, California, 94112, USA",37.7189148,-122.4436993
30,MISSION ST,CORTLAND AVE,"CORTLAND AVE, San Francisco, USA","Cortland Avenue, Bernal Heights, SF, California, CA 94110, USA",37.7398524,-122.4117385
31,MISSION ST,22ND ST,"22ND ST, San Francisco, USA","22nd Street, Southern Embarcadero Freeway, Dogpatch, SF, California, 94124, USA",37.7572576,-122.3922881
32,MISSION ST,06TH ST,"06TH ST, San Francisco, USA",,,
33,MISSION ST,PRECITA AVE,"PRECITA AVE, San Francisco, USA","Precita Avenue, Bernal Heights, SF, California, 94110, USA",37.7481617,-122.4081843
34,MISSION ST,17TH ST,"17TH ST, San Francisco, USA","17th Street, Castro District, SF, California, 94114, USA",37.7622371,-122.439492
35,MISSION ST,CASTLE MANOR AVE,"CASTLE MANOR AVE, San Francisco, USA","Castle Manor Avenue, Glen Park, SF, California, 94112, USA",37.7294685,-122.4312075
36,MISSION ST,ALLISON ST,"ALLISON ST, San Francisco, USA","Allison Street, Crocker-Amazon, SF, California, 94112, USA",37.7123223,-122.4416019
37,MISSION ST,26TH ST,"26TH ST, San Francisco, USA","26th Street, Bernal Heights, SF, California, 94110, USA",37.7493687,-122.4127084
38,MISSION ST,VIRGINIA AVE,"VIRGINIA AVE, San Francisco, USA","Virginia Avenue, Bernal Heights, SF, California, CA 94110, USA",37.742444,-122.419807
39,MISSION ST,COTTER ST,"COTTER ST, San Francisco, USA","Cotter Street, Glen Park, SF, California, 94112, USA",37.729028,-122.436044
40,MISSION ST,WHIPPLE AVE,"WHIPPLE AVE, San Francisco, USA","Whipple Avenue, Ocean View, SF, California, 94112, USA",37.711633,-122.448775
41,MISSION ST,08TH ST,"08TH ST, San Francisco, USA",,,
42,MISSION ST,PLUM ST,"PLUM ST, San Francisco, USA","Plum Street, Hayes Valley, SF, California, 94103, USA",37.7709524,-122.4189285
43,MISSION ST,THE EMBARCADERO,"THE EMBARCADERO, San Francisco, USA","Embarcadero, Market Street, Financial District, SF, California, 94111, USA",37.7928637,-122.396912
44,MISSION ST,19TH ST,"19TH ST, San Francisco, USA","19th Street, Liberty Street Historic District, SF, California, 94143, USA",37.7596955,-122.4282483
45,MISSION ST,APPLETON AVE,"APPLETON AVE, San Francisco, USA","Appleton Avenue, St. Mary's Park, SF, California, CA 94110, USA",37.7383994,-122.4228527
46,MISSION ST,OCEAN AVE,"OCEAN AVE, San Francisco, USA","Ocean Avenue, Ingleside, SF, California, 94112, USA",37.7230327,-122.4496467
47,MISSION ST,GODEUS ST,"GODEUS ST, San Francisco, USA","Godeus Street, Bernal Heights, SF, California, CA 94110, USA",37.7428241,-122.4216878
48,MISSION ST,POPE ST,"POPE ST, San Francisco, USA","Pope Street, Crocker-Amazon, SF, California, 94112, USA",37.712646,-122.440604
49,MISSION ST,FARRAGUT AVE,"FARRAGUT AVE, San Francisco, USA","Farragut Avenue, Ocean View, SF, California, 94112, USA",37.711118,-122.450774
50,MISSION ST,11TH ST,"11TH ST, San Francisco, USA","11th Street, West SoMa, SF, California, 94103, USA",37.7696937,-122.4112701
51,MISSION ST,EUGENIA AVE,"EUGENIA AVE, San Francisco, USA","Eugenia Avenue, Bernal Heights, SF, California, CA 94110, USA",37.740407,-122.4157874
52,MISSION ST,04TH ST,"04TH ST, San Francisco, USA",,,
53,MISSION ST,FRANCE AVE,"FRANCE AVE, San Francisco, USA","France Avenue, Excelsior, SF, California, 94112, USA",37.7165538,-122.4310677
54,MISSION ST,LASKIE ST,"LASKIE ST, San Francisco, USA","Laskie Street, Civic Center, SF, California, 94103, USA",37.7770041,-122.4144972
55,MISSION ST,29TH ST,"29TH ST, San Francisco, USA","29th Street, Bernal Heights, SF, California, CA 94110, USA",37.7439943,-122.4219292
56,MISSION ST,RUSSIA AVE,"RUSSIA AVE, San Francisco, USA","Russia Avenue, Excelsior, SF, California, 94112, USA",37.7188787,-122.431507
57,MISSION ST,ONONDAGA AVE,"ONONDAGA AVE, San Francisco, USA","Onondaga Avenue, Excelsior, SF, California, 94112, USA",37.7215837,-122.4385933
58,MISSION ST,ANNIE ST,"ANNIE ST, San Francisco, USA","Annie Street, Union Square, SF, California, 94103-3124, USA",37.7871025,-122.4015831
59,MISSION ST,21ST ST,"21ST ST, San Francisco, USA","SF, California, USA",37.7792808,-122.4192363
60,MISSION ST,CLARION ALY,"CLARION ALY, San Francisco, USA","Clarion Alley, Mission District, SF, California, 94110, USA",37.7630497,-122.4194975
61,MISSION ST,NAGLEE AVE,"NAGLEE AVE, San Francisco, USA","Naglee Avenue, Ocean View, SF, California, 94112, USA",37.714499,-122.4497274
62,MISSION ST,ADMIRAL AVE,"ADMIRAL AVE, San Francisco, USA","Admiral Avenue, Glen Park, SF, California, 94112, USA",37.7300815,-122.4305516
63,MISSION ST,RICHLAND AVE,"RICHLAND AVE, San Francisco, USA","Richland Avenue, St. Mary's Park, SF, California, CA 94110, USA",37.7360534,-122.424318
64,MISSION ST,LOWELL ST,"LOWELL ST, San Francisco, USA","Lowell Street, Crocker-Amazon, SF, California, 94112, USA",37.7098121,-122.4455153
65,MISSION ST,SAN JUAN AVE,"SAN JUAN AVE, San Francisco, USA","San Juan Avenue, Excelsior, SF, California, 94112, USA",37.7257388,-122.4391943
66,MISSION ST,14TH ST,"14TH ST, San Francisco, USA","SF, California, USA",37.7792808,-122.4192363
67,MISSION ST,CONCORD ST,"CONCORD ST, San Francisco, USA","Concord Street, Crocker-Amazon, SF, California, 94112, USA",37.7109444,-122.4421722
68,MISSION ST,HIGHLAND AVE,"HIGHLAND AVE, San Francisco, USA","Highland Avenue, St. Mary's Park, SF, California, CA 94110, USA",37.7373741,-122.4247324
69,MISSION ST,10TH ST,"10TH ST, San Francisco, USA","10th Street, Civic Center, SF, California, 94102, USA",37.7757638,-122.4165267
70,MISSION ST,LAWRENCE AVE,"LAWRENCE AVE, San Francisco, USA","Lawrence Avenue, Ocean View, SF, California, 94112, USA",37.710731,-122.45253
71,MISSION ST,AMAZON AVE,"AMAZON AVE, San Francisco, USA","Amazon Avenue, Excelsior, SF, California, 94112, USA",37.7156974,-122.4362182
72,MISSION ST,ECKER ST,"ECKER ST, San Francisco, USA","Ecker Street, Financial District, SF, California, 94105, USA",37.7871006,-122.3957938
73,MISSION ST,SHAW ALY,"SHAW ALY, San Francisco, USA","Shaw Alley, Financial District, SF, California, 94105, USA",37.7881896,-122.397562
74,MISSION ST,AVALON AVE,"AVALON AVE, San Francisco, USA","Avalon Avenue, St. Mary's Park, SF, California, 94134, USA",37.7248222,-122.4241619
75,MISSION ST,FRANCIS ST,"FRANCIS ST, San Francisco, USA","Francis Street, Excelsior, SF, California, 94112, USA",37.7274852,-122.4352392
76,MISSION ST,LAFAYETTE ST,"LAFAYETTE ST, San Francisco, USA","Lafayette Street, Hayes Valley, SF, California, 94103, USA",37.7728161,-122.4169304
77,MISSION ST,JESSIE WEST ST,"JESSIE WEST ST, San Francisco, USA","Jessie West, Union Square, SF, California, 94104, USA",37.783514,-122.4065796
78,MISSION ST,COLLEGE AVE,"COLLEGE AVE, San Francisco, USA","College Avenue, St. Mary's Park, SF, California, CA 94110, USA",37.7335803,-122.4237526
79,MISSION ST,03RD ST,"03RD ST, San Francisco, USA",,,
80,MISSION ST,HARRINGTON ST,"HARRINGTON ST, San Francisco, USA","Harrington Street, Excelsior, SF, California, 94112, USA",37.7254214,-122.4349466
81,MISSION ST,COLLEGE TER,"COLLEGE TER, San Francisco, USA","College Terrace, St. Mary's Park, SF, California, CA 94110, USA",37.7348252,-122.4266448
82,MISSION ST,VALENCIA ST,"VALENCIA ST, San Francisco, USA","Valencia Street, Bernal Heights, SF, California, CA 94110, USA",37.7466049,-122.4201511
83,MISSION ST,NEY ST,"NEY ST, San Francisco, USA","Ney Street, St. Mary's Park, SF, California, 94112, USA",37.730136,-122.426084
84,MISSION ST,12TH ST,"12TH ST, San Francisco, USA","SF, California, USA",37.7792808,-122.4192363
85,MISSION ST,25TH ST,"25TH ST, San Francisco, USA","25th Street, Potrero Terrace, SF, California, 41907, USA",37.7527267,-122.3897002
86,MISSION ST,MARY ST,"MARY ST, San Francisco, USA","Mary Street, South of Market, SF, California, 94104, USA",37.7815809,-122.4065943
87,MISSION ST,SPEAR ST,"SPEAR ST, San Francisco, USA","Spear Street, South Beach, SF, California, 94017, USA",37.7891268,-122.3897765
88,MISSION ST,ROLPH ST,"ROLPH ST, San Francisco, USA","Rolph Street, Crocker-Amazon, SF, California, 94112, USA",37.7124669,-122.4342298
89,MISSION ST,07TH ST,"07TH ST, San Francisco, USA",,,
90,MISSION ST,NORTON ST,"NORTON ST, San Francisco, USA","Norton Street, Excelsior, SF, California, 94112, USA",37.7248359,-122.4353988
91,MISSION ST,RUTH ST,"RUTH ST, San Francisco, USA","Ruth Street, Excelsior, SF, California, 94112, USA",37.7232574,-122.4365926
92,MISSION ST,BRAZIL AVE,"BRAZIL AVE, San Francisco, USA","Brazil Avenue, Excelsior, SF, California, 94112, USA",37.7213069,-122.4277315
93,MISSION ST,GUTTENBERG ST,"GUTTENBERG ST, San Francisco, USA","Guttenberg Street, Crocker-Amazon, SF, California, 94112, USA",37.7088558,-122.4424317
94,MISSION ST,23RD ST,"23RD ST, San Francisco, USA","22nd Street, Southern Embarcadero Freeway, Dogpatch, SF, California, 94124, USA",37.7572576,-122.3922881
95,MISSION ST,RANDALL ST,"RANDALL ST, San Francisco, USA","Randall Street, St. Mary's Park, SF, California, CA 94110, USA",37.739731,-122.426619
96,MISSION ST,PERSIA AVE,"PERSIA AVE, San Francisco, USA","Persia Avenue, Excelsior, SF, California, 94134, USA",37.7185035,-122.4262757
97,MISSION ST,16TH ST,"16TH ST, San Francisco, USA","16th Street, Mission District, SF, California, 94143, USA",37.764859,-122.422853
98,MISSION ST,YERBA BUENA LN,"YERBA BUENA LN, San Francisco, USA","Yerba Buena Lane, Union Square, SF, California, 94103-3124, USA",37.7855328,-122.40403
99,MISSION ST,LAURA ST,"LAURA ST, San Francisco, USA","Laura Street, Ocean View, SF, California, 94112, USA",37.710671,-122.451344
100,MISSION ST,18TH ST,"18TH ST, San Francisco, USA","18th Street, Mission District, SF, California, 94110, USA",37.7618405,-122.4193819
101,MISSION ST,LEO ST,"LEO ST, San Francisco, USA","Leo Street, Excelsior, SF, California, 94112, USA",37.7229428,-122.437729
102,MISSION ST,POWERS AVE,"POWERS AVE, San Francisco, USA","Powers Avenue, Bernal Heights, SF, California, CA 94110, USA",37.74614,-122.4193864
103,MISSION ST,SANTA ROSA AVE,"SANTA ROSA AVE, San Francisco, USA","Santa Rosa Avenue, Excelsior, SF, California, 94112, USA",37.727861,-122.438085
104,MISSION ST,FLORENTINE AVE,"FLORENTINE AVE, San Francisco, USA",,,
105,MISSION ST,FOOTE AVE,"FOOTE AVE, San Francisco, USA","Foote Avenue, Crocker-Amazon, SF, California, 94112, USA",37.714256,-122.446779
106,MISSION ST,BOSWORTH ST,"BOSWORTH ST, San Francisco, USA","Bosworth Street, Glen Park, SF, California, 94112, USA",37.7330306,-122.4316854
107,MISSION ST,EXCELSIOR AVE,"EXCELSIOR AVE, San Francisco, USA","Excelsior Avenue, Excelsior, SF, California, 94134, USA",37.7224451,-122.4256652
108,MISSION ST,WASHBURN ST,"WASHBURN ST, San Francisco, USA","Washburn Street, Civic Center, SF, California, 94103, USA",37.7758929,-122.4151466
109,MISSION ST,MORSE ST,"MORSE ST, San Francisco, USA","Morse Street, Crocker-Amazon, SF, California, 94112, USA",37.713005,-122.4394212
110,MISSION ST,ANGELOS ALY,"ANGELOS ALY, San Francisco, USA","Angelo's Alley, Civic Center, SF, California, 94103, USA",37.7792373,-122.4137555
111,MISSION ST,BROOK ST,"BROOK ST, San Francisco, USA","Brook Street, St. Mary's Park, SF, California, CA 94110, USA",37.740685,-122.4234509
112,MISSION ST,09TH ST,"09TH ST, San Francisco, USA",,,
113,MISSION ST,OTTAWA AVE,"OTTAWA AVE, San Francisco, USA","Ottawa Avenue, Crocker-Amazon, SF, California, 94112, USA",37.7151456,-122.4456569
114,MISSION ST,NIAGARA AVE,"NIAGARA AVE, San Francisco, USA","Niagara Avenue, Ingleside, SF, California, 94112, USA",37.718615,-122.445494
115,MISSION ST,ACTON ST,"ACTON ST, San Francisco, USA","Acton Street, Daly City, SF, California, 94112, USA",37.708215,-122.452347
116,MISSION ST,05TH ST,"05TH ST, San Francisco, USA",,,
117,MISSION ST,24TH ST,"24TH ST, San Francisco, USA","24th Street, Noe Valley, SF, California, CA 94110, USA",37.7515081,-122.4306911
118,MISSION ST,GRACE ST,"GRACE ST, San Francisco, USA","Grace Street, Civic Center, SF, California, 94103, USA",37.7743701,-122.4139536
